Area Name,Area Type,Year,Labor Force,Employment,Unemployment,Unemployment Rate,Average Monthly Employment,Total Wages (All Workers),Average Weekly Wages,Establishments,Total Expenditures,Estimated Population,Expenditures Per Capita
Mendocino County,County,2009.0,43510.0,38950.0,4560.0,10.5,393.14,5066219.63,625.6,56.95,191879909.0,90206.0,2127.0
Merced County,County,2009.0,106200.0,87900.0,18300.0,17.3,877.68,11680169.49,622.4,73.5,389557106.0,256450.0,1519.0
Modoc County,County,2009.0,4070.0,3550.0,510.0,12.6,126.07,1629293.27,589.78,19.16,43774672.0,9698.0,4514.0
Mono County,County,2009.0,8770.0,7970.0,800.0,9.2,302.59,3657319.92,683.13,26.65,57600896.0,13504.0,4265.0
Monterey County,County,2009.0,216500.0,190600.0,25900.0,12.0,1362.78,21321701.43,857.15,107.81,814173685.0,431892.0,1885.0
Napa County,County,2009.0,75900.0,69200.0,6600.0,8.7,813.49,14321764.12,852.91,66.87,230336267.0,137571.0,1674.0
Nevada County,County,2009.0,50620.0,45200.0,5420.0,10.7,379.96,5738692.12,694.62,51.43,146326164.0,98718.0,1482.0
Orange County,County,2009.0,1595700.0,1451500.0,144200.0,9.0,6662.47,137054512.58,1005.72,483.37,3326887750.0,3139017.0,1060.0
Placer County,County,2009.0,180600.0,161400.0,19200.0,10.6,1133.45,19833732.79,832.57,101.74,542081892.0,339577.0,1596.0
Plumas County,County,2009.0,10090.0,8470.0,1610.0,16.0,176.89,2438702.65,583.22,28.47,53577796.0,20632.0,2597.0
Riverside County,County,2009.0,921400.0,795700.0,125700.0,13.6,3240.2,48561555.66,783.82,257.5,3232432280.0,2107653.0,1534.0
Sacramento County,County,2009.0,684600.0,606000.0,78600.0,11.5,3612.15,72951640.51,907.31,277.81,2725078853.0,1433187.0,1901.0
San Benito County,County,2009.0,25000.0,21400.0,3600.0,14.5,315.05,4433561.94,676.21,33.4,73915397.0,58016.0,1274.0
San Bernardino County,County,2009.0,862800.0,749000.0,113800.0,13.2,3266.39,51208593.1,779.34,229.17,2848120030.0,2060950.0,1382.0
San Diego County,County,2009.0,1561200.0,1408200.0,153000.0,9.8,5941.56,116601223.31,928.89,468.7,3604194866.0,3173407.0,1136.0
San Francisco County,County,2009.0,461300.0,419500.0,41800.0,9.1,3449.07,99963155.7,1244.15,350.2,2420077983.4,1307601.78,4678.16
San Joaquin County,County,2009.0,299900.0,253300.0,46600.0,15.5,1638.37,25575611.91,774.21,123.53,1086751021.0,689480.0,1576.0
San Luis Obispo County,County,2009.0,136900.0,124400.0,12600.0,9.2,868.11,13168517.88,726.71,87.5,400698005.0,270429.0,1482.0
San Mateo County,County,2009.0,375600.0,343500.0,32200.0,8.6,2270.41,66702339.45,1138.94,171.61,1130232085.0,745858.0,1515.0
Santa Barbara County,County,2009.0,220800.0,201800.0,19000.0,8.6,1306.92,22163196.86,906.88,111.42,700808369.0,431312.0,1625.0
Santa Clara County,County,2009.0,879300.0,782300.0,97000.0,11.0,4982.52,160315035.73,1152.6,357.62,3326938594.0,1857621.0,1791.0
Santa Cruz County,County,2009.0,148400.0,131300.0,17100.0,11.5,849.06,13388110.8,795.06,90.77,391884581.0,268637.0,1459.0
Shasta County,County,2009.0,84500.0,71900.0,12600.0,14.9,655.93,9273629.7,696.72,69.48,260224057.0,183023.0,1422.0
Sierra County,County,2009.0,1610.0,1360.0,250.0,15.5,63.53,832593.59,557.89,12.77,17495437.0,3358.0,5210.0
Siskiyou County,County,2009.0,19760.0,16830.0,2930.0,14.8,261.34,3186468.83,548.58,36.79,106287709.0,45973.0,2312.0
Solano County,County,2009.0,215600.0,192200.0,23400.0,10.8,1096.89,20378863.25,841.69,84.51,628101067.0,426729.0,1472.0
Sonoma County,County,2009.0,257700.0,232400.0,25300.0,9.8,1262.76,21604925.45,858.6,138.1,772827431.0,486630.0,1588.0
Stanislaus County,County,2009.0,236200.0,198100.0,38100.0,16.1,1335.46,20294653.1,717.46,107.95,739718254.0,526383.0,1405.0
Sutter County,County,2009.0,42200.0,35000.0,7200.0,17.1,439.26,5849355.11,658.39,51.94,143898139.0,96554.0,1490.0
Tehama County,County,2009.0,25510.0,21880.0,3620.0,14.2,303.8,3909742.23,582.36,36.36,100212144.0,62836.0,1595.0
Trinity County,County,2009.0,5020.0,4150.0,880.0,17.4,113.0,1288222.21,540.76,19.62,44795369.0,13959.0,3209.0
Tulare County,County,2009.0,204600.0,173000.0,31600.0,15.4,1336.33,16493493.9,654.25,92.2,665896112.0,441481.0,1508.0
Tuolumne County,County,2009.0,25870.0,22590.0,3280.0,12.7,294.19,4144913.68,641.38,34.48,117865863.0,56335.0,2092.0
Ventura County,County,2009.0,432200.0,388800.0,43500.0,10.1,1932.71,35532510.84,903.15,156.26,1206053668.0,836080.0,1443.0
Yolo County,County,2009.0,99200.0,87900.0,11400.0,11.5,843.81,13931370.53,802.04,71.87,266908271.0,200709.0,1330.0
Yuba County,County,2009.0,28600.0,23600.0,5000.0,17.5,343.87,5349764.68,624.65,36.96,128079588.0,72900.0,1757.0
California,State,2010.0,18370500.0,16078500.0,2292100.0,12.5,46218.63,983754768.29,1032.6,4130.84,55704071632.0,37791995.0,115887.0
Alameda County,County,2010.0,782700.0,695300.0,87300.0,11.2,3504.63,85273469.28,1092.35,305.93,2083268145.0,1574857.0,1323.0
Alpine County,County,2010.0,540.0,470.0,70.0,13.1,54.73,824993.73,680.21,12.78,14578603.0,1189.0,12261.0
Amador County,County,2010.0,15520.0,13290.0,2230.0,14.4,281.98,3926420.87,619.84,29.62,61056979.0,38022.0,1606.0
Butte County,County,2010.0,102700.0,88100.0,14600.0,14.2,718.36,9791743.54,679.56,86.89,345569828.0,221768.0,1558.0
Calaveras County,County,2010.0,21050.0,17930.0,3110.0,14.8,184.62,2355681.73,635.51,32.18,70766481.0,45870.0,1543.0
Colusa County,County,2010.0,11560.0,9090.0,2460.0,21.3,293.8,4215685.04,653.43,30.42,46636818.0,22206.0,2100.0
Contra Costa County,County,2010.0,525700.0,466700.0,59000.0,11.2,2214.06,50437052.01,1041.1,212.59,1805784477.0,1073055.0,1683.0
Del Norte County,County,2010.0,10940.0,9460.0,1480.0,13.5,272.09,3665130.68,602.77,29.9,55408451.0,29673.0,1867.0
El Dorado County,County,2010.0,91200.0,79800.0,11400.0,12.5,561.04,8786486.02,767.51,63.36,268680830.0,182019.0,1476.0
Fresno County,County,2010.0,440600.0,365300.0,75300.0,17.1,2189.43,31574286.75,762.78,179.11,1195960511.0,953761.0,1254.0
Glenn County,County,2010.0,13240.0,11150.0,2090.0,15.8,248.96,3242924.61,625.0,38.36,68744257.0,29434.0,2336.0
Humboldt County,County,2010.0,66100.0,58900.0,7100.0,10.8,514.9,6813830.82,673.74,61.87,233685993.0,133400.0,1752.0
Imperial County,County,2010.0,79100.0,55800.0,23300.0,29.4,756.21,10395879.25,675.87,76.46,261770616.0,183029.0,1430.0
Inyo County,County,2010.0,9760.0,8780.0,970.0,10.0,232.45,3295585.2,658.25,22.46,61731395.0,18110.0,3409.0
Kern County,County,2010.0,372200.0,312600.0,59700.0,16.0,1978.88,32224756.72,779.02,120.77,1533701063.0,839587.0,1827.0
Kings County,County,2010.0,59600.0,49700.0,9800.0,16.5,642.36,8970355.81,651.36,52.78,184865685.0,156289.0,1183.0
Lake County,County,2010.0,29900.0,25280.0,4620.0,15.5,313.16,4100220.8,629.23,55.54,118868288.0,64053.0,1856.0
Lassen County,County,2010.0,12120.0,10370.0,1740.0,14.4,280.95,4573695.9,620.24,20.49,57188664.0,35889.0,1593.0
Los Angeles County,County,2010.0,4940700.0,4318700.0,622000.0,12.6,15506.76,327767697.15,1051.39,1687.14,16862384547.0,10441080.0,1615.0
Madera County,County,2010.0,61700.0,51200.0,10500.0,17.0,644.85,8722392.06,648.26,61.93,180527354.0,153655.0,1175.0
Marin County,County,2010.0,133000.0,122300.0,10700.0,8.1,945.73,21107913.91,1097.16,111.0,416192399.0,260651.0,1597.0
